上映日期,中文片名,累計銷售金額,喜歡,不喜歡,預告觀看次數,類型,出品,google trend,導演,演員1,演員2,演員3,演員4,編劇,製片預算
2018/9/28,極限獵殺,25730,24,3,12176,恐怖、懸疑、驚悚,,,,,,,,,
2018/9/28,格鬥驕陽,28725,68,4,4603,劇情、體育,,,,,,,,,
2018/9/28,陽光姐妹淘,28585,56,2,14928,喜劇、劇情,,,,,,,,,
2018/9/28,青春，未完待續,41995,78,0,6405,劇情,,,,,,,,,
2018/9/28,判決,3628215,217,19,562637,劇情,,,,,,,,,
2018/9/28,小腳怪,21910345,491,40,107620,家庭、喜劇、動畫、奇幻,,,,,,,,,
2018/9/28,人肉搜索,14010598,748,13,100383,驚悚,,,,,,,,,
2018/9/28,貓是用來抱的,343804,134,12,34086,劇情,,,,,,,,,
2018/9/28,優雅的謊言,88380,105,6,9446,劇情,,,,,,,,,
2018/9/28,中國城,104550,147,17,25477,犯罪、劇情,,,,,,,,,
2018/9/28,外慾,292902,27,4,16010,愛情、劇情,,,,,,,,,
2018/9/28,陪睡大人,1664078,123,7,68360,喜劇,,,,,,,,,
2018/9/28,塑料王國,775912,126,8,10377,紀錄,,,,,,,,,
2018/9/28,愛哭鬼的棋蹟,287158,67,2,5906,劇情,,,,,,,,,
2018/9/28,鬼店,1392431,0,0,0,心理、恐懼、推理,,,,,,,,,
2018/9/28,阿飛正傳,1398065,100,2,21350,犯罪、劇情,,,,,,,,,
2018/9/28,李宗偉：敗者為王,3621890,213,6,36997,體育、劇情,,,,,,,,,
2018/9/28,重金屬之旅,180805,255,9,16288,音樂、喜劇,,,,,,,,,
2018/9/28,物怪,976393,70,10,47529,奇幻、動作,,,,,,,,,
2018/9/28,厲可拍,3326711,58,12,45705,驚悚、恐怖,,,,,,,,,
2018/9/28,歐洲攻略,1792877,84,23,17780,驚悚、劇情,,,,,,,,,
2018/9/27,火焰中的星空,232025,79,8,7839,紀錄,,,,,,,,,
2018/9/27,胡桃鉗,199560,2810,50,266079,奇幻、劇情,,,,,,,,,
2018/9/27,阿喀郎版吉賽兒,266840,11,0,2885,劇情,,,,,,,,,
2018/9/27,愛麗絲夢遊仙境,207120,0,0,0,奇幻、冒險,,,,,,,,,
2018/9/21,追擊者,262020,17,1,14685,犯罪、驚悚,,,,,,,,,
2018/9/21,盲點,643479,17,1,8700,夥伴、劇情,,,,,,,,,
2018/9/21,情遇那不勒斯,568674,10,3,13061,懸疑、驚悚,,,,,,,,,
2018/9/21,血薄荷,15132300,733,12,81094,驚悚、劇情,,,,,,,,,
2018/9/21,愛慾圓舞曲,16670,16,5,11483,奇幻、劇情、恐怖,,,,,,,,,
2018/9/21,活屍電梯,42245,63,16,64125,恐怖、懸疑、驚悚,,,,,,,,,
2018/9/21,麵包超人電影版閃耀吧！庫倫與生命之星,1086979,0,0,6992,動畫,,,,,,,,,
2018/9/21,一屍到底,53294800,488,57,308389,殭屍、恐怖,,,,,,,,,
2018/9/21,惡魔島,39206994,267,26,356341,歷史、劇情,,,,,,,,,
2018/9/21,黃金兄弟,15790941,24,3,14464,犯罪、動作,,,,,,,,,
2018/9/21,極地之王,4986331,466,12,51283,驚悚 、劇情,,,,,,,,,
2018/9/21,睡著也好醒來也罷,305368,126,2,12341,愛情、劇情,,,,,,,,,
2018/9/21,凸搥特派員:三度出擊,58877010,898,54,267390,動作、冒險 ,,,,,,,,,
2018/9/21,明天，最後一天,219617,83,2,18671,劇情,,,,,,,,,
2018/9/21,電影版【空中急診英雄─海空災難最終救援─】,9718226,180,7,21396,劇情,,,,,,,,,
2018/9/21,退而不休,880967,90,16,31689,喜劇、劇情,,,,,,,,,
2018/9/21,鳥男孩,20350,164,7,8476,科幻、劇情,,,,,,,,,
2018/9/14,我很好,188956,58,17,9226,犯罪、青春,,,,,,,,,
2018/9/14,藍色項圈,2510144,611,48,87387,驚悚、劇情,,,,,,,,,
