上映日期,中文片名,累計銷售金額,喜歡,不喜歡,預告觀看次數,類型,label,week,出品,google trend,導演,演員1,演員2,演員3,演員4,編劇,喜歡,不喜歡,製片預算
2018/8/31,引爆點,6769316,309,23,374716,劇情、驚悚,1,35,,,,,,,,,,,
2018/8/31,笑傲曇天,179745,122,5,191413,劇情、奇幻,0,35,,,,,,,,,,,
2018/8/31,遺落殺鎮,74205,27,6,21335,恐怖,0,35,,,,,,,,,,,
2018/8/31,粽邪,49273565,810,64,227246,恐怖、驚悚,3,35,,,,,,,,,,,
2018/8/31,HIDE：來春之約,1087620,121,2,14861,紀錄,0,35,,,,,,,,,,,
2018/8/31,武士的一分,125810,37,1,10585,劇情、愛情,0,35,,,,,,,,,,,
2018/8/31,生生,1863528,341,11,26015,劇情,0,35,,,,,,,,,,,
2018/8/31,暗算,269177,168,10,13009,劇情、驚悚,0,35,,,,,,,,,,,
2018/8/30,王牌教師麻辣出擊,3910792,78,17,276210,青春片、喜劇,1,35,,,,,,,,,,,
2018/8/30,私刑教育2,70227691,1865,57,345999,犯罪、驚悚,3,35,,,,,,,,,,,
2018/8/24,銀魂2：規矩是為了被打破而存在的,6373013,84,3,18029,動作、歷史,1,34,,,,,,,,,,,
2018/8/24,瘋狂亞洲富豪,66386121,1269,135,1339143,喜劇、劇情,3,34,,,,,,,,,,,
2018/8/24,隱劍鬼爪,98235,20,1,8557,劇情、動作,0,34,,,,,,,,,,,
2018/8/24,我願意,1073071,64,2,24675,劇情、驚悚,0,34,,,,,,,,,,,
2018/8/24,大師兄,31790004,731,34,163763,劇情、動作,2,34,,,,,,,,,,,
2018/8/24,頂尖高手,353730,162,11,12956,紀錄,0,34,,,,,,,,,,,
2018/8/24,闇黑之心,10799761,412,34,118548,驚悚、科幻,2,34,,,,,,,,,,,
2018/8/24,全面霾伏,8347362,156,19,192257,驚悚、科幻,2,34,,,,,,,,,,,
2018/8/24,她的錯誤教育,499545,104,2,26127,劇情、愛情,0,34,,,,,,,,,,,
2018/8/24,殺戮元年,15147109,997,48,292730,驚悚、犯罪,2,34,,,,,,,,,,,
