上映日期,中文片名,累計銷售金額,喜歡,不喜歡,預告觀看次數,類型,label,week,出品,google trend,導演,演員1,演員2,演員3,演員4,編劇,喜歡,不喜歡,製片預算
2018/7/27,她們的故事,288923,220,7,15349,劇情,0,30,,,,,,,,,,,
2018/7/27,血琥珀,124270,146,5,13079,紀錄,0,30,,,,,,,,,,,
2018/7/27,冥房,118750,91,13,10454,劇情、驚悚,0,30,,,,,,,,,,,
2018/7/27,喜歡你愛上你逃離你,862401,196,14,20999,劇情,1,30,,,,,,,,,,,
2018/7/27,超能救援,684744,335,39,50715,驚悚、科幻,1,30,,,,,,,,,,,
2018/7/27,我的抓狂(女)友,198943,130,8,24001,喜劇,0,30,,,,,,,,,,,
2018/7/25,不可能的任務：全面瓦解,447486435,2696,57,294790,驚悚、動作,3,30,,,,,,,,,,,
2018/7/20,鬼入夢,1833453,35,3,33814,驚悚、推理,2,29,,,,,,,,,,,
2018/7/20,一袋彈珠,773155,170,1,10849,劇情,1,29,,,,,,,,,,,
2018/7/20,把哥哥退貨可以嗎,9180250,1291,25,188058,劇情、愛情,2,29,,,,,,,,,,,
2018/7/20,鬼嫁娘,493195,189,9,25380,驚悚、推理,1,29,,,,,,,,,,,
2018/7/20,?道上的阿波羅,614782,143,5,13867,歌舞、劇情、愛情,1,29,,,,,,,,,,,
2018/7/20,母親的告白,181660,45,2,12729,懸疑、劇情、驚悚,0,29,,,,,,,,,,,
2018/7/20,鬼太鼓座,166729,25,1,5355,紀錄,0,29,,,,,,,,,,,
2018/7/20,阿寶動物一族,46465,104,13,35043,愛情、喜劇,0,29,,,,,,,,,,,
2018/7/20,震撼真相,969609,30,1,17655,劇情、驚悚,1,29,,,,,,,,,,,
2018/7/20,願望咖啡館,2071602,173,8,15680,劇情,2,29,,,,,,,,,,,
2018/7/20,霧中的女孩,608712,32,1,20813,驚悚、推理,1,29,,,,,,,,,,,
2018/7/20,揭密風暴,137420,112,4,10823,劇情,0,29,,,,,,,,,,,
2018/7/20,神佈局,4035874,330,126,146272,科幻、動作,2,29,,,,,,,,,,,
2018/7/20,孤狼之血,531678,175,8,28039,劇情、犯罪,1,29,,,,,,,,,,,
2018/7/19,尖叫旅社3:怪獸假期,68682970,1986,105,444314,奇幻、冒險,3,29,,,,,,,,,,,
2018/7/13,簡單的婚禮,224910,93,43,12561,愛情、喜劇,0,28,,,,,,,,,,,
2018/7/13,命帶追逐（2018數位修復版）,669676,144,6,9226,劇情、驚悚、喜劇、動作,1,28,,,,,,,,,,,
2018/7/13,高年級姐妹會,3981727,38,2,191564,劇情、愛情,2,28,,,,,,,,,,,
2018/7/13,決戰賽末點,185320,235,10,56173,體育、劇情,0,28,,,,,,,,,,,
2018/7/13,?本龍一:async紐約現場,164448,111,0,8051,音樂、紀錄,0,28,,,,,,,,,,,
2018/7/13,?本龍一：終章,2179029,989,13,65752,音樂、紀錄,2,28,,,,,,,,,,,
2018/7/13,小偷家族,14433772,206,7,110474,劇情、犯罪,3,28,,,,,,,,,,,
2018/7/13,友罪,1304969,139,5,238485,劇情、懸疑,0,28,,,,,,,,,,,
2018/7/13,永劫,101765,60,5,24527,恐怖,0,28,,,,,,,,,,,
2018/7/13,媽媽的人生食譜,81935,0,0,473,劇情、家庭,0,28,,,,,,,,,,,
2018/7/12,摩天大樓,187916572,725,43,664163,劇情、驚悚,3,28,,,,,,,,,,,
2018/7/12,切小金家的旅館,19771591,1776,90,233402,恐怖、喜劇,3,28,,,,,,,,,,,
2018/7/7,K SEVEN STORIES Episode1「R：B～BLAZE～」,449013,285,4,18948,動畫,1,27,,,,,,,,,,,
2018/7/6,勾魂200小時,20690,169,22,21588,恐怖,0,27,,,,,,,,,,,
2018/7/6,他媽的完美女友,294385,142,9,42285,劇情,1,27,,,,,,,,,,,
2018/7/6,教宗與他的12件收藏,270590,141,8,9268,紀錄,0,27,,,,,,,,,,,
