上映日期,中文片名,累計銷售金額,喜歡,不喜歡,預告觀看次數,類型,出品,google trend,導演,演員1,演員2,演員3,演員4,編劇,製片預算
2019/9/12,好小男孩,8131770,2657,64,222160,喜劇,,,,,,,,,
2019/9/12,再見了小Q,1114380,266,13,20288,劇情,,,,,,,,,
2019/9/12,衝擊真相,1822858,52,9,174021,驚悚,,,,,,,,,
2019/9/12,天氣之子,161790340,6751,73,733542,動畫、奇幻、愛情,,,,,,,,,
2019/9/12,我家有個開心農場,1647583,234,2,30819,紀錄,,,,,,,,,
2019/9/12,花椒之味,5743825,298,36,75218,劇情,,,,,,,,,
2019/9/12,舞孃騙很大,6851569,129,19,93036,喜劇、犯罪、驚悚,,,,,,,,,
2019/9/12,4x4危機四伏,836683,9,2,80063,犯罪、驚悚,,,,,,,,,
2019/9/6,匿名的畫作,929115,93,2,8904,劇情,,,,,,,,,
2019/9/6,大叔之愛電影版,6748977,571,15,263891,喜劇、愛情,,,,,,,,,
2019/9/6,魔法禁界,3083507,19,4,785004,動作、奇幻、冒險,,,,,,,,,
2019/9/5,牠第二章,116212841,7595,182,1226386,恐怖、驚悚,,,,,,,,,
2018/9/14,我很好,188956,58,17,9226,犯罪、青春,,,,,,,,,
2018/9/14,藍色項圈,2510144,611,48,87387,驚悚、劇情,,,,,,,,,
2018/9/14,無聊的人生我死也不要,2681856,308,7,24646,喜劇、劇情,,,,,,,,,
2018/9/14,密謀,2219381,38,3,48211,犯罪、驚悚,,,,,,,,,
2018/9/14,搖滾樂殺人事件,1320884,198,14,29972,劇情,,,,,,,,,
2018/9/14,終極戰士：掠奪者,43561059,333,49,161905,驚悚、科幻,,,,,,,,,
2018/9/14,利斧狂魔,23990,20,5,7561,驚悚,,,,,,,,,
2018/9/14,德魯大叔,4258751,309,5,31782,喜劇、體育,,,,,,,,,
2018/9/14,我的媽咪金搖擺,160738,95,3,6197,喜劇 ,,,,,,,,,
2018/9/14,B面人生,105240,78,4,9501,喜劇、劇情,,,,,,,,,
2018/9/14,美國動物,776822,15,1,5163,犯罪、劇情,,,,,,,,,
2018/9/14,裸愛殺機,370716,67,7,11037,驚悚、劇情,,,,,,,,,
2018/9/14,K SEVEN STORIES EPISODE 3「SIDE：GREEN～覆寫世界～」,220953,28,0,3894,動畫,,,,,,,,,
2018/9/14,當我們困在一起,212576,93,8,8809,喜劇、劇情,,,,,,,,,
2018/9/14,失蹤網紅,23766706,1364,42,259054,驚悚、劇情,,,,,,,,,
2018/9/14,致命目擊,4425500,220,14,43910,驚悚、犯罪,,,,,,,,,
2018/9/14,婚禮的那一天,1994419,83,4,45501,愛情、通俗,,,,,,,,,
2018/9/14,戲夢巴黎,412140,4,0,1362,愛情、劇情,,,,,,,,,
2018/9/14,北極上學趣,426985,32,2,10797,劇情 ,,,,,,,,,
2018/9/7,山的那一邊,5432891,359,15,58681,喜劇、劇情,,,,,,,,,
2018/9/7,葛飾北齋:畫狂老人,216384,33,1,7715,紀錄,,,,,,,,,
2018/9/7,愛情無論如何,354527,362,76,156597,愛情、劇情,,,,,,,,,
2018/9/7,喔！露西,234170,142,4,11659,劇情、通俗,,,,,,,,,
2018/9/7,HIGH & LOW熱血街頭電影版2：天空的盡頭,44660,0,0,7388,動作,,,,,,,,,
2018/9/7,HIGH & LOW熱血街頭電影版3：終極任務,27710,15,0,3895,動作,,,,,,,,,
2018/9/7,暹羅訣九神戰甲,610636,415,32,44033,動畫、冒險、奇幻,,,,,,,,,
2018/9/7,永遠的朋友：靈犬貝兒,412354,20,0,9138,溫馨、家庭、冒險,,,,,,,,,
2018/9/7,笑畫人生,760462,140,1,11345,喜劇、劇情,,,,,,,,,
2018/9/7,男孩愛最大,292144,53,1,8393,奇幻、劇情,,,,,,,,,
2018/9/7,屍控警戒,230010,118,23,80673,動作、恐怖,,,,,,,,,
2018/9/7,婚禮冤家,6323183,84,3,112978,劇情、通俗,,,,,,,,,
2018/9/7,與神同行的少年,263815,78,10,9680,劇情,,,,,,,,,
2018/9/7,北風,2338381,294,12,53432,驚悚、劇情,,,,,,,,,
2018/9/7,虹色時光,171794,118,3,7795,動畫,,,,,,,,,
2018/9/7,青夏：戀上你的30日,162943,117,6,11027,愛情、劇情,,,,,,,,,
2018/9/7,我們的50次初吻,678150,263,8,36667,愛情、喜劇,,,,,,,,,
2018/9/6,鬼修女,112675402,2849,188,758619,推理、驚悚,,,,,,,,,
2018/9/1,銀魂2特別篇：世界奇妙銀魂醬,481686,3,1,1136,劇情,,,,,,,,,
2017/9/18,三十ㄦ立,1552180,135,17,146931,劇情 ,,,,,,,,,
2017/9/15,煙花,13582430,1984,70,330468,奇幻、劇情,,,,,,,,,
2017/9/15,仿聲靈,1032033,244,24,72788,奇幻、劇情,,,,,,,,,
2017/9/15,3月的獅子後篇,422623,89,7,281571,劇情,,,,,,,,,
2017/9/15,金牌特勤隊,1781963,136,10,41175,驚悚、動作,,,,,,,,,
2017/9/15,少女車神,299569,10,0,71803,體育、劇情,,,,,,,,,
2017/9/15,倫敦呼叫,366315,31,0,6799,音樂、劇情,,,,,,,,,
2017/9/15,愛情齡距離,3714023,96,7,80826,愛情、劇情,,,,,,,,,
2017/9/15,閨蜜假期,6935081,183,12,169421,喜劇、公路,,,,,,,,,
2017/9/15,曼菲,1289285,133,2,21576,紀錄 ,,,,,,,,,
2017/9/15,地圖的盡頭,15921240,158,18,36347,劇情,,,,,,,,,
2017/9/13,美國刺客,18285637,400,14,90511,驚悚、動作,,,,,,,,,
2017/9/8,愛情昏迷中,2322353,291,8,1048405,愛情、劇情,,,,,,,,,
2017/9/8,青春後空翻,1225539,139,16,129765,喜劇、戲劇,,,,,,,,,
2017/9/8,那年夏天的微光,229400,185,8,63591,劇情,,,,,,,,,
2017/9/8,3月的獅子前篇,507885,97,5,24416,劇情,,,,,,,,,
2017/9/8,帶來末日的女孩,196976,260,25,76562,動作、恐怖、懸疑、驚悚,,,,,,,,,
2017/9/8,我只是個計程車司機,39399150,1349,39,351290,動作、劇情,,,,,,,,,
2017/9/8,她的應召日記,50350,4440,2809,7300373,劇情,,,,,,,,,
