導演1搜尋,導演2搜尋,導演3搜尋,演員1搜尋,演員2搜尋,演員3搜尋,演員4搜尋,編劇1搜尋,編劇2搜尋,編劇3搜尋,編劇4搜尋
"9,220",,,"702,000","553,000","92,800","587,000","981,000",,,
"117,000",,,"220,000","907,000",,,"6,560",,,
"14,600",,,"47,200","141,000","109,000","376,000","10,900","31,200","38,000",
"17,000",,,"306,000","144,000",,,"132,000",936,,
"4,810","11,700",,"31,000","460,000","237,000",,"3,530","283,000",,
"204,000","98,200",,"128,000","2,980,000","8,040","4,930,000","11,700",,,
"11,100",,,"10,900","7,250","43,800","32,400","28,100",,,
"489,000",,,"377,000","468,000",,,"179,000","202,000",,
"8,470","5,960",,,,,,"478,000","139,000","201,000",
"15,400",,,"166,000","100,000",,,"3,920",,,
"352,000",,,"471,000","122,000","307,000","1,260,000","57,400","8,870","12,900",
"171,000",,,"122,000","23,800","126,000","29,300","52,200",841,"30,300",
"2,970,000",,,"190,000","6,690,000","193,000","94,400","32,800",,,
"112,000",,,"60,700","157,000","125,000","549,000","6,760","1,260","114,000",
"649,000",,,"1,880,000",5,,,5,,,
"1,370",,,"8,490","6,920",,,114,,,
"18,300",,,"327,000","68,800","117,000","1,420,000","1,150,000",,,
"175,000",,,"13,900,000","47,100","127,000",,"25,800",,,
"3,410,000",,,"781,000","929,000","171,000","88,700","945,000","2,830",,
"137,000",,,"850,000","122,000","11,700",,"93,600",,,
"64,500",,,"80,300","84,800",,,"56,500","59,200",,
"493,000",,,"6,160,000","3,430,000","618,000","48,800","77,900",,,
"14,600",,,"89,200","220,000","264,000","37,300","81,300",,,
"1,500,000",,,"22,200",,,,"343,000",,,
"66,900",,,"205,000","77,400",,,"46,100","59,000",,
"414,000",,,"4,040,000","303,000","1,590,000","408,000","1,060,000",,,
"5,760",,,"1,350,000","13,700","111,000",,"7,900",767,,
"5,870",,,"20,700","2,000",,,"14,200",,,
"11,100",,,"2,570","1,330",,,6,,,
5,,,"655,000","725,000","1,260,000","50,600",3,,,
"1,720",,,508,"12,600",,,"2,120",409,,
"22,900",,,"91,800","85,500","26,400","282,000","34,300",,,
"16,300",,,"46,900,000",,,,,,,
"182,000",,,"905,000","1,200,000","445,000","42,600","42,600",,,
"35,900",,,"34,700","274,000","154,000",,5,,,
"16,900",,,"1,020,000","471,000","82,100",,"4,920",,,
"4,520,000",,,"4,110,000","8,860,000","2,850,000",,"1,160,000",,,
"47,600",,,"303,000","452,000",,,"5,330",,,
"48,900",,,"390,000",5,"279,000","163,000","2,250,000",,,
"3,300",,,"71,800","1,870,000","78,300",4,"59,000",,,
"77,400",,,"196,000","519,000","2,980,000","2,940,000",634,"135,000",,
"75,000",,,"190,000","31,900","1,160,000","244,000","1,370",,,
"70,900",,,"18,700","55,200",,,"279,000",,,
"1,680,000",,,"107,000","128,000","203,000","1,180,000","17,200","10,500",,
"7,830",,,"75,400","488,000","20,800","90,200","47,300","3,860","11,300",
"428,000",,,"147,000","327,000","49,400","147,000","44,900","148,000",,
"67,400",,,"596,000",4,,,"153,000",,,
"152,000",,,"54,600,000",,,,,,,
"79,400",,,"105,000","307,000","127,000",,"16,000",,,
"3,200",,,"735,000","701,000","92,000","127,000",,,,
"29,100",,,"5,910","2,150",,,"9,220",804,,
"10,700",,,"50,500","142,000","33,300","29,800","21,000",,,
"14,700",,,"605,000","20,600","1,120,000","572,000","13,500",,,
"3,960",,,"23,700","1,520","43,500",,516,"23,100",,
"30,800",,,"49,000","39,900","149,000","1,350,000","667,000",,,
"57,900",,,"46,400","59,200",,,"2,250",250,,
"23,000",,,"29,300","238,000","21,100",,"186,000","10,500",,
"11,200",,,"862,000",,,,"29,900","42,300",,
"1,240",,,"150,000","5,510","64,400","13,600","5,860","4,110",,
"150,000",,,"122,000","527,000",,,"49,300","22,500",,
"38,500",,,"177,000","374,000","57,200","42,100","284,000","106,000",,
"218,000",,,"261,000","83,900",,,"45,100",,,
"19,200","15,400",,"113,000","29,300","135,000","97,800","8,080","3,170",,
"55,100",,,,,,,"23,900",,,
"298,000",,,"64,400","1,140,000","1,950,000","193,000",5,,,
"163,000",,,"270,000","94,400","345,000","205,000","58,000",,,
"141,000",,,"1,100,000","781,000","364,000","776,000","141,000",,,
"26,600",,,"139,000","54,900","226,000","39,500","3,690",,,
"6,270",,,"26,000",,,,"9,190",,,
"122,000",,,"177,000","8,950,000","668,000","197,000","43,800","304,000",,
"1,870,000",,,"8,110",,,,"354,000",,,
"347,000",,,"317,000","46,100","129,000","1,030,000","15,300",,,
"33,800",,,"21,400","95,200",,,"8,290",,,
"141,000",,,"29,200","166,000",,,"26,300","5,240",,
"465,000",,,"35,500","7,180","13,200","32,400","227,000",,,
"12,700",,,"5,320,000","109,000","1,330,000","155,000","7,350",,,
"525,000",,,"15,100,000","6,420,000","2,820,000","183,000","286,000","816,000","7,520,000",
"6,740,000","7,130,000",,"676,000","668,000","2,170,000","2,210,000",,,,
"29,400",,,"16,300",,,,,,,
"183,000",,,"226,000","25,100","394,000","91,800","48,500","17,300",,
"8,300","5,260",,,,,,,,,
"20,600",,,"107,000","7,200","8,260","711,000","6,890",,,
"155,000",,,"13,700","1,220,000","1,420,000",,,,,
"286,000",,,"306,000","18,500","565,000",,"36,000",,,
"41,800",,,"164,000","233,000","115,000","6,360","11,600",,,
"1,400,000",,,"1,920,000","1,870,000","421,000","497,000","5,280,000",,,
"14,300",,,"44,500","55,000","64,300,000",,"44,800",,,
"5,220",,,"225,000",,,,"1,440",,,
"50,500",,,"254,000","1,090,000","42,000","31,900","12,000",,,
"189,000",,,"702,000","109,000","962,000",,,,,
"290,000",,,"11,400","334,000","847,000","38,200","31,500",,,
"3,360",,,"33,900","94,100","13,200",,"18,800",,,
