導演1分數,導演2分數,導演3分數,演員1分數,演員2分數,演員3分數,演員4分數,編劇1分數,編劇2分數,編劇3分數,編劇4分數
233093,-1,-1,851634,-1,122010,-1,-1,-1,-1,-1
-1,-1,-1,25507,-1,-1,-1,377,-1,-1,-1
-1,-1,-1,1696873,30245,536180,267564,-1,-1,-1,-1
-1,-1,-1,11733130,371478,-1,-1,11733416,-1,-1,-1
-1,5128,-1,578253,119429,101657,-1,-1,516900,-1,-1
-1,-1,-1,2651907,1615556,-1,-1,-1,-1,-1,-1
4512,-1,-1,1708115,135679,594008,714,-1,-1,-1,-1
544045,-1,-1,85467,3856,-1,-1,544045,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,8330164,880639,-1,-1,-1,-1,-1,-1
-1,-1,-1,164657,25138,2677,3168,186,498,1199,-1
-1,-1,-1,288200,303683,67314,8617,-1,-1,-1,-1
-1,-1,-1,2749122,5704,-1,761016,-1,-1,-1,-1
-1,-1,-1,6036,23788,159012,1637701,-1,-1,81380,-1
-1,-1,-1,-1,91466,-1,-1,-1,-1,-1,-1
-1,-1,-1,1671515,7805338,-1,-1,-1,-1,-1,-1
526680,-1,-1,1004109,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,149814,19935,28045,-1,-1,-1,-1,-1
-1,-1,-1,209914,1508,181758,2280656,-1,-1,-1,-1
-1,-1,-1,21369,25138,231197,-1,-1,-1,-1,-1
-1,-1,-1,837321,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,187196,224114,-1,-1,-1,-1,-1
-1,-1,-1,1569122,970,-1,371152,-1,-1,-1,-1
38462,-1,-1,-1,-1,-1,-1,38462,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15083,-1,-1,759476,20856,-1,-1,-1,-1,-1,-1
14034,-1,-1,106222773,949896,310009,-1,14034,616,-1,-1
2037,-1,-1,357427,7053,-1,-1,2037,-1,-1,-1
-1,-1,-1,-1,1685,-1,-1,-1,-1,-1,-1
-1,-1,-1,3189,2943,-1,-1,-1,-1,-1,-1
-1,-1,-1,18975,7717,-1,-1,-1,-1,-1,-1
381684,-1,-1,-1,2885431,1053249,228433,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,10453367,38189,-1,-1,120,-1,-1,-1
-1,-1,-1,1123077,526590,4509,-1,-1,-1,-1,-1
-1,-1,-1,43111,1527801,710,-1,-1,-1,-1,-1
-1,-1,-1,1115,464980,-1,-1,-1,-1,-1,-1
391,-1,-1,894056,29695,-1,-1,391,-1,-1,-1
-1,-1,-1,2344,117963,-1,76767,-1,-1,-1,-1
-1,-1,-1,63022,2021,22476,-1,-1,-1,-1,-1
-1,-1,-1,995028,55264,59882,-1,-1,-1,-1,-1
-1,-1,-1,158346,278,-1,-1,-1,-1,-1,-1
-1,-1,-1,35951,18230,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,2337629,767535,-1,-1,-1,-1
5911,-1,-1,2613532,359196,25823,136671,13868469,1615,980,-1
-1,-1,-1,-1,-1,-1,-1,1254,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,19084,663567,28036,-1,-1,-1,-1,-1
-1,-1,-1,9184925,-1,1067,610739,-1,-1,-1,-1
12110,-1,-1,-1,-1,-1,-1,12110,-1,-1,-1
9794,-1,-1,17144,561160,882821,5427403,445,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,158
280,-1,-1,107888,3983,1279764,-1,-1,-1,-1,-1
-1,-1,-1,1343877,1435747,595872,115608,-1,-1,-1,-1
879,-1,-1,-1,-1,-1,-1,879,-1,-1,-1
1495,-1,-1,2634751,-1,33729,-1,-1,-1,-1,-1
6208,-1,-1,3054933,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,20515,24684,5695,48890,-1,-1,-1,-1
72322,-1,-1,2303961,4961927,-1,-1,72322,-1,-1,-1
82989,-1,-1,163322060,24294265,4625533,1201976,4238,-1,-1,-1
-1,-1,-1,796623,2153610,-1,-1,-1,-1,-1,-1
-1,-1,-1,41189,8613,147791,2563,-1,-1,-1,-1
31397,-1,-1,-1,-1,-1,-1,31397,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,25526,761017,-1,-1,-1,-1,-1,-1
494421,-1,-1,38353846,209206,17391253,191380,494421,-1,-1,-1
-1,-1,-1,29223,9174,32475821,984921,2542,-1,-1,-1
417227,-1,-1,417227,-1,-1,-1,417227,-1,-1,-1
-1,-1,-1,6439,29762,521338,31195,-1,-1,-1,-1
-1,-1,-1,2385,-1,-1,-1,-1,-1,-1,-1
1987908,-1,-1,7338981,3734887,796315,135554054,-1,-1,-1,-1
572,-1,-1,22749,404666,-1,-1,572,-1,-1,-1
-1,-1,-1,1956827,441,-1,-1,-1,-1,-1,-1
-1,-1,-1,3494042,15761,2749215,5865,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,201644,465116,-1,123021,-1,-1,-1,-1
-1,-1,-1,234593,521337,81699,59950,-1,-1,-1,-1
-1,-1,-1,9780,-1,-1,-1,-1,-1,-1,-1
242025,-1,-1,32475777,1189032,543272,63823349,11147,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1808,611442,606645,-1,-1,-1,-1
-1,-1,-1,-1,160077,3377,-1,-1,-1,-1,-1
