上映日期,中文片名,出品,累計銷售金額,google trend,導演,演員1,演員2,演員3,演員4,編劇,製片預算,類型,,喜歡,不喜歡,預告觀看次數
2019/10/9,電影版壞傢伙們,"CJ ENM CO., LTD.",6038719,699,孫容鎬_Yong-ho Son,馬東石,金相中,金亞中,張基龍,韓正勳,no,警察、犯罪、驚悚、動作,,91,2,25586
2019/10/9,海獸之子,株式會社 Beyond C.,7349047,494,渡邊步,蒼井優,稻垣吾郎,no,no,五十嵐大介,no,動畫、冒險、奇幻,,706,16,66209
2019/10/9,屍樂園髒比雙拼,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,12929099,0,Ruben Fleischer,Woody Harrelson,Jesse Eisenberg,Abigail Breslin,Emma Stone,Dave Callaham、Rhett Reese、Paul Wernick,4200萬,恐怖、動作、喜劇,,281,51,637223
2019/10/9,藍波最後一滴血,"MILLENNIUM MEDIA, INC.",24279847,647,Adrian Grunberg,Sylvester Stallone,Paz Vega,no,no,Sylvester Stallone、Matthew Cirulnick,5000萬,動作、冒險、驚悚、西部,,1075,20,106644
2019/10/9,弒婚遊戲,"BUENA VISTA INTERNATIONAL, INC.",22393290,0,Matt Bettinelli-Olpin、Tyler Gillett,Samara Weaving,Adam Brody,Andie MacDowell,no,Guy Busick、Ryan Murphy,600萬,恐怖、懸疑、驚悚,,1621,57,292509
2019/10/4,壞壞萌雪怪,UNIVERSAL INTERNATIONAL FILMS LLC,16258099,0,Jill Culton、Todd Wilderman,汪可盈,登舍諾吉特雷納,蔡丞恩,艾迪以札德,Jill Culton,7500萬,動畫、奇幻、冒險、喜劇,,346,79,400564
2019/10/4,108悍將,Media Film International,5200335,0,Kriv Stenders,Travis Fimmel,Luke Bracey,Nicholas Hamilton,Richard Roxburgh,Stuart Beattie,no,動作、戰爭、劇情,,402,10,41326
2019/10/3,小丑,WARNER BROS. PICTURES INTERNATIONAL.,279742523,563,Todd Phillips,Joaquin Phoenix,Robert De Niro,no,no,Todd Phillips、Scott Silver,5500萬,犯罪、劇情、驚悚,,12000,218,1938526
2019/9/27,笑笑羊大電影外星人來了,STUDIOCANAL,1835349,0,Will Becher、Richard Phelan,no,no,no,no,Jon Brown、Mark Burton、Nick Park,no,動畫、冒險、喜劇、奇幻,,65,2,10219
2019/9/27,校外打怪教學,PROTAGONIST PICTURES LIMITED,4488900,0,Abe Forsythe,Lupita Nyong'o,Josh Gad,no,no,Abe Forsythe,no,恐怖、喜劇,,1326,14,98205
2019/9/27,瞞天機密,FILM & TV HOUSE LIMITED,3898356,0,Gavin Hood,Keira Knightley,Matthew Goode,Ralph Fiennes,Matt Smith,Gavin Hood、Sara Bernstein、Gregory Bernstein,no,劇情、傳記,,178,6,224077
2019/9/27,囧媽的極地任務,METRO-GOLDWYN-MAYER STUDIOS INC.,2195476,0,Richard Linklater,Cate Blanchett,Judy Greer,Kristen Wiig,Laurence Fishburne,Richard Linklater、Holly Gent、Vincent Palmo Jr.,,喜劇、劇情,,76,6,24128
2019/9/27,信用詐欺師JP,PONY CANYON INC,3445752,0,田中亮,長澤雅美,東出昌大,小日向文世,竹內結子,古澤良太,no,犯罪、喜劇,,130,4,357249
2019/9/27,無間行動,Batrax Entertainment,7558002,0,Andrea Di Stefano,Joel Kinnaman,Clive Owen,Rosamund Pike,Ana de Armas,Andrea Di Stefano、Rowan Joffe、Matt Cook,no,犯罪、劇情,,232,8,31611
2019/9/27,青春豬頭少年不會夢到懷夢美少女,Aniplex Inc.,8765886,0,曾井壯一,石川界人,?田真禮,no,no,?谷昌宏,no,動畫、奇幻、懸疑、愛情,,592,3,35257
2019/9/27,只有我能喜歡妳,M PICTURES COMPANY LIMITED,3331820,0,Chainarong Tampong,Chanon Santinatornkul,Supassra Thanachat,no,no,Weeravat Chayochaikon,no,愛情、喜劇,,2504,34,308748
2019/9/20,殺手餐廳,Nippon Television Network Corporation,1193493,0,蜷川實花_Mika Ninagawa,玉城蒂娜,藤原龍也,齋藤工,小栗旬,平山夢明,no,犯罪,,88,4,52229
2019/9/20,返校,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,252851718,512,徐漢強,王淨,曾敬驊,傅孟柏,no,簡士耕,no,懸疑、驚悚,,14000,339,1407127
2019/9/20,星際救援,BONA FILM INVESTMENT COMPANY,33548683,427,James Gray,Brad Pitt,Tommy Lee Jones,Donald Sutherland,Liv Tyler,James Gray、Ethan Gross,no,科幻、懸疑、冒險、驚悚,,149,26,89661
2019/9/20,唐頓莊園,UNIVERSAL INTERNATIONAL FILMS LLC,2417873,769,Michael Engler,Maggie Smith,Matthew Goode,Allen Leech,no,Julian Fellowes,no,劇情,,586,8,46384
2019/9/12,好小男孩,UNIVERSAL INTERNATIONAL FILMS LLC,8131770,0,Gene Stupnitsky,Jacob Tremblay,Will Forte,no,no,Lee Eisenberg、Gene Stupnitsky,2000萬,喜劇,,2657,64,222160
2019/9/12,再見了小Q,星皓影業(香港)有限公司,1114380,0,羅永昌,任達華,梁詠琪,羅仲謙,楊釆妮,陳淑賢,no,劇情,,266,13,20288
2019/9/12,衝擊真相,BANKSIDE FILMS LTD,1822858,0,Rowan Athale,Nick Robinson,Greg Kinnear,Amy Ryan,Margaret Qualley,Eric Garcia,no,驚悚,,52,9,"174,021"
2019/9/12,天氣之子,"TOHO CO., LTD.",161790340,0,新海誠,小栗旬_Shun Oguri,no,no,no,新海誠,,動畫、奇幻、愛情,,6751,73,733542
2019/9/12,我家有個開心農場,"Bos Entertainment Inc. dba The Exchange as sales agent for Farm Lore Films,LLC",1647583,0,John Chester,John Chester,Molly Chester,no,no,John Chester、Mark Monroe,no,紀錄,,234,2,30819
2019/9/12,花椒之味,寰亞電影製作有限公司##北京拉近影業有限公司##大地時代文化傳播(北京)有限公司##英皇影業有限公司##高寶集團影視有限公司##高益創新投資公共有限公司##寰亞電影發行（北京）有限公司##中影寰亞音像製品有限公司##悅視（北京）文化傳媒有限公司##大地時代文化傳播（天津）有限公司##上海懿合文化傳媒股份有限公司##金門製作有限公司,5743825,0,麥曦茵,鄭秀文,賴雅妍,李曉峰,吳彥姝,張小嫻,no,劇情,,298,36,75218
2019/9/12,舞孃騙很大,"STX Productions, LLC",6851569,0,Lorene Scafaria,Jennifer Lopez,吳恬敏 Constance Wu,Julia Stiles,no,Lorene Scafaria、Jessica Pressler,2000萬,喜劇、犯罪、驚悚,,129,19,93036
2019/9/12,4x4危機四伏,Latido Consorcio de Exportaci?n del Cine Espanol SL,836683,357,Mariano Cohn,Peter Lanzani,Dady Brieva,no,no,Mariano Cohn,no,犯罪、驚悚,,9,2,80063
2019/9/6,匿名的畫作,LevelK,929115,0,Klaus Haro,Heikki Nousiainen,Amos Brotherus,no,no,Anna Hein?maa,no,劇情,,93,2,8904
2019/9/6,大叔之愛電影版,TV Asahi Corporation,6748977,0,?東東一郎,田中圭,林遣都,吉田鋼太郎,澤村一樹,?尾浩司,no,喜劇、愛情,,571,15,263891
2019/9/6,魔法禁界,Media Film International,3083507,0,Aleksandr Boguslavskiy,Tinatin Dalakishvili,Eddie Marsan,no,no,Aleksandr Boguslavskiy、Dmitriy Zhigalov,no,動作、奇幻、冒險,,19,4,785004
2019/9/5,牠第二章,WARNER BROS. PICTURES INTERNATIONAL.,116212841,479,Andy Muschietti,James McAvoy,Jessica Chastain,Bill Skarsg?rd,Bill Hader,Gary Dauberman,no,恐怖、驚悚,,7595,182,1226386
2019/8/30,未來無恙,大照國際影像有限公司Conjunction Films,1207158,0,賀照緹,no,no,no,no,no,no,紀錄,,1,0,133
2019/8/30,極限逃生,"CJ ENM CO., LTD.",31868118,0,李相槿,潤娥,曹政奭,高斗心,朴仁煥,Lee Sang-geun,no,喜劇、動作,,340,12,91469
2019/8/30,巴黎之王闇黑正義,Gaumont S.A.,1013202,0,Jean-Fran?ois Richet,Vincent Cassel,Olga Kurylenko,August Diehl,no,?ric Besnard,no,犯罪、驚悚、冒險、劇情,,61,3,321965
2019/8/30,你願意嫁給我老公嗎,Cornerstone Films LTD,1639223,0,Bart Freundlich,Michelle Williams,Julianne Moore,Billy Crudup,no,Bart Freundlich,no,劇情,,243,7,61244
