上映日期,中文片名,累計銷售金額
2018-08-31,引爆點,"6,769,316"
2018-08-31,笑傲曇天,"179,745"
2018-08-31,遺落殺鎮,"74,205"
2018-08-31,粽邪,"49,273,565"
2018-08-31,HIDE：來春之約,"1,087,620"
2018-08-31,武士的一分,"125,810"
2018-08-31,生生,"1,863,528"
2018-08-31,暗算,"269,177"
2018-08-30,王牌教師麻辣出擊,"3,910,792"
2018-08-30,私刑教育2,"70,227,691"
2018-08-24,銀魂2：規矩是為了被打破而存在的,"6,373,013"
2018-08-24,瘋狂亞洲富豪,"66,386,121"
2018-08-24,隱劍鬼爪,"98,235"
2018-08-24,我願意,"1,073,071"
2018-08-24,大師兄,"31,790,004"
2018-08-24,頂尖高手,"353,730"
2018-08-24,闇黑之心,"10,799,761"
2018-08-24,全面霾伏,"8,347,362"
2018-08-24,她的錯誤教育,"499,545"
2018-08-24,殺戮元年,"15,147,109"
2018-08-24,地球另一端的守候,"174,035"
2018-08-24,絕命警告信,"132,701"
2018-08-24,來自未來的她,"4,470"
2018-08-17,范保德,"3,813,075"
2018-08-17,拳力逃脫,"11,036,862"
2018-08-17,黃昏清兵衛,"125,365"
2018-08-17,湯瑪士小火車：環遊世界大冒險,"2,688,807"
2018-08-17,未來的未來,"12,691,708"
2018-08-17,愛的所有格,"57,090"
2018-08-17,飛上天空的輪胎,"717,411"
2018-08-17,劊樂小丑,"170,395"
2018-08-17,每天回家老婆都在裝死,"11,175,757"
2018-08-17,老娘也要當間諜,"11,072,100"
2018-08-17,鬥魚,"30,570,074"
2018-08-10,永遠愛妳，惠妮！,"414,618"
2018-08-10,我的冠軍男友,"255,940"
2018-08-10,K SEVEN STORIES EPISODE 2「SIDE：BLUE～猶如天狼～」,"271,803"
2018-08-10,柏格曼：大師狂想,"162,461"
2018-08-10,記憶大師,"96,375"
2018-08-10,三生三世十里桃花,"119,520"
2018-08-10,娼年,"912,237"
2018-08-10,夏日大作戰,"157,206"
2018-08-10,跳躍吧！時空少女,"133,503"
2018-08-10,怪物的孩子,"54,065"
2018-08-10,巨齒鯊,"162,289,851"
2018-08-10,蠟筆小新電影功夫小子之拉麵大亂鬥！,"6,136,447"
2018-08-08,與神同行：最終審判,"479,427,194"
2018-08-03,真假維梅爾,"843,855"
2018-08-03,怒火邊界2：毒刑者,"5,584,871"
2018-08-03,摯友維尼,"23,510,154"
2018-08-03,道別的早晨就用約定之花點綴吧,"4,024,258"
2018-08-03,鬼戲語,"1,765,615"
2018-08-03,家族真命苦2,"131,735"
2018-08-03,魘影人,"16,490"
2018-08-03,危險性交易,"27,355"
2018-08-03,鐘擺人生,"108,030"
2018-08-01,媽媽咪呀！回來了,"25,276,673"
2017-08-31,潛龍突擊隊,"11,285,336"
2017-08-31,黑塔,"26,629,578"
2017-08-28,電影哆啦A夢《大雄的南極冰天雪地大冒險》,"6,445,649"
2017-08-28,黑獄亡魂,"2,735"
2017-08-25,美國製造,"70,840,298"
2017-08-25,辣媽好孕到,"394,181"
2017-08-25,芬蘭湯姆,"288,283"
2017-08-25,紅衣小女孩2,"105,729,876"
2017-08-25,初戀上女孩,"129,540"
2017-08-24,羅根好好運,"5,834,638"
2017-08-18,雙面愛人,"1,242,915"
2017-08-18,殺手保鑣,"91,504,452"
2017-08-18,軍艦島,"69,176,348"
2017-08-18,好想大聲說出心底的話,"541,900"
2017-08-18,東京喰種,"4,021,203"
2017-08-18,不幹了！我開除了黑心公司,"5,016,144"
2017-08-18,一週的朋友,"1,039,998"
2017-08-11,抓狂酒吧,"1,638,005"
2017-08-11,表情符號電影,"10,828,163"
2017-08-11,美麗之星,"393,540"
2017-08-11,舞動心跳,"3,590,126"
2017-08-11,俠盜聯盟,"21,031,612"
2017-08-11,《徐自強的練習題》,"875,765"
2017-08-10,安娜貝爾：造孽,"111,997,735"
2017-08-08,犧牲,"17,535"
2017-08-07,CARS3閃電再起,"45,927,013"
2017-08-04,艾蜜莉的異想世界,"1,285,165"
2017-08-04,帝一之國,"980,883"
2017-08-04,愛貓之城,"1,073,410"
2017-08-04,REAL,"5,185,438"
2017-08-03,玩命再劫,"42,102,315"
2017-08-03,星際特工瓦雷諾：千星之城(數位2D),"32,546,668"
